gene_name,gene_id,tax_id
CYP4G1,30986,7227
zyx,317824,7227
zyx102,317824,7227
arginine-rich cyclin 1,817183,3702
alanine aminotransferase 2,843565,3702
cyp4g1,30986,7227
IR67c,317838,7227
phospholipase A 2A,817197,3702
elo68alpha,317841,7227
ELAV,31000,7227
ELav,31000,7227
ElaV,31000,7227
Elav,31000,7227
vha16-3,317846,7227
germin-like protein 1,843593,3702
APPL,31002,7227
eap,317852,7227
appl,31002,7227
dAPPl,31002,7227
pleiotropic drug resistance 4,817232,3702
NXF3,317878,7227
nxf3,317878,7227
4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase,817234,3702
VND,31003,7227
Vnd,31003,7227
PEP1 receptor 1,843639,3702
nk-2,31003,7227
CBL-interacting protein kinase 3,817240,3702
Edin,317900,7227
homeodomain GLABROUS 11,843671,3702
CSAS,317923,7227
Rpl36,31009,7227
abscisic aldehyde oxidase 3,817257,3702
mybbp1a,31010,7227
dro-4,317954,7227
DREDD,31011,7227
dro4,317954,7227
Dcp-2,31011,7227
purple acid phosphatase 12,817261,3702
Dcp-2/Dredd,31011,7227
Dcp2,31011,7227
2-isopropylmalate synthase 1,843742,3702
myb domain protein 122,843748,3702
dro3,317955,7227
dcp-2/dredd,31011,7227
dredd,31011,7227
vps11,317987,7227
Tut,317996,7227
desulfo-glucosinolate sulfotransferase 18,843749,3702
Roc1,31014,7227
chaperonin-60alpha,817344,3702
sulfotransferase 16,843750,3702
roc1a,31014,7227
Sphinx1,318005,7227
sphinx-1,318005,7227
Suv4-20,31015,7227
hmt4-20,31015,7227
SKPA,31016,7227
glutathione S-transferase TAU 10,843799,3702
copper/zinc superoxide dismutase 2,817365,3702
OR65a,318011,7227
Skp1,31016,7227
dskpA,31016,7227
skpA,31016,7227
response regulator 15,843828,3702
STG1,318064,7227
Stg1,318064,7227
RPL22,31022,7227
aminodeoxychorismate synthase,817437,3702
Rpl22,31022,7227
rpL22,31022,7227
rpl22,31022,7227
ribosomal protein S9,843836,3702
Dfz3,31023,7227
Fz3,31023,7227
dFz3,31023,7227
dfz3,31023,7227
glutamate receptor 2.9,817458,3702
Ssp7,318146,7227
rad23,6724700,7240
ornithine carbamoyltransferase,843869,3702
Pomt2,31024,7227
Tw,31024,7227
dPOMT2,31024,7227
dPomt2,31024,7227
glutamate receptor 2.7,817460,3702
GR9a,318158,7227
5'-3' exoribonuclease 3,843900,3702
RBF,31027,7227
lawC,318164,7227
RBf1,31027,7227
Rb,31027,7227
RbF,31027,7227
Rbf1,31027,7227
Pgd,6724920,7240
pgd,6724920,7240
rb,31027,7227
rbf,31027,7227
rbf1,31027,7227
pleiotropic drug resistance 3,817544,3702
Cyp4d1,6724923,7240
TLK,318206,7227
SEC22,31030,7227
Cyp4d2,6724927,7240
tlk,318206,7227
cyclin-dependent kinase B2;1,843987,3702
cinnamate-4-hydroxylase,817599,3702
LZTR1,31037,7227
12-oxophytodienoate reductase 1,844001,3702
Med22,31038,7227
12-oxophytodienoate reductase 2,844002,3702
MrpS21,318249,7227
med22,31038,7227
aspartate aminotransferase 1,817648,3702
thioredoxin Y1,844010,3702
Mus81,31044,7227
Gsk3b,318552,7227
Gskt,318552,7227
TFIIA-S-2,31048,7227
tfiia-s-2,31048,7227
sqh,6725263,7240
actin depolymerizing factor 6,817676,3702
Spdo,318559,7227
extensin 1,844028,3702
CDC45,31052,7227
atg5,6725355,7240
cdc45,31052,7227
purple acid phosphatase 13,817838,3702
Spn-D,318579,7227
Su(w[a]),31054,7227
thylakoidal ascorbate peroxidase,844085,3702
cg14628,31057,7227
WSCK,318600,7227
cp36,6725456,7240
nitrate reductase 1,844112,3702
SLIMP,318604,7227
myosin XI D,817886,3702
cg11403,31072,7227
caleosin 3,817901,3702
IR94a,318610,7227
Dsim\HP1b,6725499,7240
phosphoglycerate/bisphosphoglycerate mutase,844140,3702
Daam,31075,7227
IR94f,318632,7227
dDaam,31075,7227
daam,31075,7227
trehalose-6-phosphate phosphatase,844144,3702
Naa30,31079,7227
cg11412,31079,7227
tpl94D,318658,7227
yp2,6725576,7240
tsp2A,31080,7227
tpl[94D],318658,7227
light-harvesting chlorophyll-protein complex II subunit B1,818006,3702
dmmtpap,31081,7227
nine-cis-epoxycarotenoid dioxygenase 9,844175,3702
hmr,6725604,7240
PNG,31084,7227
Png,31084,7227
Heatr2,318680,7227
WRKY DNA-binding protein 35,818048,3702
cg3056,31086,7227
GBA1b,318721,7227
myb domain protein 63,844259,3702
basic pentacysteine 7,818120,3702
GR2a,31093,7227
TAKL1,318725,7227
Dsk,6726642,7240
takl1,318725,7227
Gr2B1,31093,7227
ATMCP2b,844271,3702
IR94c,318727,7227
ERF family protein 38,818139,3702
IR94b,318728,7227
ns3,31097,7227
nositol transporter 3,818146,3702
O-FUT2,31098,7227
DmOr82a,318778,7227
Os-E,6726907,7240
phosphoglycerate kinase,844293,3702
Ofut2,31098,7227
DPY,318824,7227
PCK,31101,7227
Pck,31101,7227
Dp,318824,7227
Dpy,318824,7227
pleiotropic drug resistance 6,818211,3702
mega,31101,7227
dp,318824,7227
rab27,31103,7227
gld,6727070,7240
BSG,318841,7227
Mei-38,31104,7227
chromomethylase 1,844413,3702
bsg,318841,7227
proline transporter 3,818232,3702
ssp1,31104,7227
magnesium transporter 1,844430,3702
Dtr,318856,7227
STA,31106,7227
Sta,31106,7227
glucan synthase-like 8,818258,3702
nanos,6727485,7240
tPlus3a,318904,7227
tPlus3b,318905,7227
NMDAR2,31107,7227
MIR165A,3766638,3702
nr2,31107,7227
IR31a,318912,7227
pleiotropic drug resistance 5,818305,3702
INC,31110,7227
arginine/serine-rich zinc knuckle-containing protein 33,818311,3702
fru,6727559,7240
KDM4B,318918,7227
DOR,31118,7227
MIR159B,3766747,3702
dKdm4B,318918,7227
kdm4b,318918,7227
Dor,31118,7227
origin recognition complex second largest subunit 2,818332,3702
vps18,31118,7227
nimA,318930,7227
cp190,6727996,7240
swi,31120,7227
mst36Fa,318948,7227
MIR157D,3767405,3702
B6,31124,7227
zinc-finger protein 10,818351,3702
hsc70,6728006,7240
TSEN2,318956,7227
ADAR,31130,7227
glycerol-3-phosphate acyltransferase 6,818389,3702
MIR157A,3767650,3702
adar,31130,7227
cg12598,31130,7227
dAdar,31130,7227
Ace,6728249,7240
dadar,31130,7227
Naa20,318982,7227
Med18,31140,7227
ada1-1,318991,7227
ammonium transporter 2,818409,3702
ada1-2,318992,7227
MIR159A,3767694,3702
PEX5,31141,7227
Xdh,6728274,7240
SCAR homolog 2,818425,3702
PGAM5,31143,7227
dPGAM5,31143,7227
PebII,326108,7227
WRKY DNA-binding protein 33,818429,3702
VPS26,31144,7227
dVps26,31144,7227
OBP57e,326110,7227
dvps26,31144,7227
hsp70,6728340,7240
MIR160A,3768181,3702
vps26,31144,7227
hsp70Bb,6728340,7240
lipid transfer protein 1,818436,3702
Ph4alphaSG1,326112,7227
TRR,31149,7227
Trr,31149,7227
atg16,326115,7227
ARM,31151,7227
desat1,6728348,7240
cyclin-dependent kinase B1;2,818444,3702
Arm,31151,7227
fad,6728348,7240
beta-cat,31151,7227
glycine-rich protein 23,3768391,3702
Dsim\desat2,6728351,7240
Tau,326116,7227
desat2,6728351,7240
dtau,326116,7227
annexin 4,818457,3702
Mip130,31153,7227
Twit,31153,7227
annexin 3,818458,3702
twit,31153,7227
EDEM1,31154,7227
Hdac11,326120,7227
HdacX,326120,7227
edem1,31154,7227
GstD1,6728385,7240
dsGSTD1,6728385,7240
MIR164A,3768750,3702
Rumi,326122,7227
phosphatidylglycerolphosphate synthase 1,818514,3702
ADA2a,326128,7227
Ada2A,326128,7227
dOcrl,31157,7227
docrl,31157,7227
ocrl,31157,7227
DmAda2a,326128,7227
ada2a,326128,7227
glycine-rich protein 5,3768804,3702
dAda2A,326128,7227
hsp70,6728451,7240
dAda2a,326128,7227
hsp70Ab,6728451,7240
HR4,31162,7227
rubisco activase,818558,3702
hr4,31162,7227
hsp70,6728452,7240
hsp70Aa,6728452,7240
MIR158A,3768869,3702
cg4406,31163,7227
npc2e,326136,7227
proline transporter 1,818576,3702
CF1/Usp,31165,7227
Cf1,31165,7227
DmUsp,31165,7227
Cox5A,6728463,7240
USP,31165,7227
Usp,31165,7227
cf1,31165,7227
PGANT5,326151,7227
cox5A,6728463,7240
dmUSP,31165,7227
pgant5,326151,7227
ACTN,31166,7227
Erm,326152,7227
dFezf,326152,7227
MIR166B,3769765,3702
actn,31166,7227
response regulator 16,818662,3702
THO2,326153,7227
Tho2,326153,7227
MIR167B,3769776,3702
WRKY DNA-binding protein 55,818669,3702
Mon2,326157,7227
mtn,6728719,7240
Moody,31168,7227
WRKY DNA-binding protein 54,818670,3702
MIR319A,3769806,3702
NINAD,326160,7227
SIK2,31170,7227
ZNT33D,326167,7227
cg31860,326167,7227
UNC-76,31179,7227
Dsim\HP1e,6728813,7240
calmodulin 2,818710,3702
MIR165B,3770111,3702
unc-76,31179,7227
PH-p,31181,7227
cytokinin oxidase/dehydrogenase 1,818749,3702
MIR160B,3770127,3702
rel,6728840,7240
Ph,31181,7227
Scramb1,326186,7227
Ph-p,31181,7227
PhP,31181,7227
ph,31181,7227
ph-P,31181,7227
ph[p],31181,7227
php,31181,7227
D2HGDH,31184,7227
adi1,326189,7227
anon1E9,6728855,7240
heat shock transcription factor B3,818767,3702
6-Pgd,31185,7227
6-pgd,31185,7227
6Pgd,31185,7227
6Pgdh,31185,7227
6pgdh,31185,7227
alg10,326193,7227
MIR166C,3770611,3702
SUNN,326196,7227
PGD,31185,7227
cox7A,6728943,7240
MIR166D,3770612,3702
vascular plant one zinc finger protein 2,818841,3702
cox7a,6728943,7240
zinc finger protein 11,818842,3702
MIR156E,3770614,3702
pgd,31185,7227
KRN,326198,7227
krn,326198,7227
Wapl,31187,7227
Ap-50,6729104,7240
ap50,6729104,7240
claspin,326205,7227
MIR172B,3770659,3702
CYP4D1,31188,7227
Cyp4D1,31188,7227
cg6994,326208,7227
anac042,818902,3702
cyp4d1,31188,7227
MIR164B,3770673,3702
Dsim\HP1c,6729159,7240
Smc5,326215,7227
smc5,326215,7227
inositol transporter 1,818934,3702
CYP4D2,31192,7227
Cyp4D2,31192,7227
SK2,326219,7227
MIR164C,3770751,3702
Sphk2,326219,7227
sk2,326219,7227
MAP kinase 6,818982,3702
Cyp4e4,31193,7227
anon1G5,6729369,7240
MCO4,326221,7227
MCT1,31198,7227
Msta,31200,7227
TANGO5,326232,7227
MIR319B,3771393,3702
msta,31200,7227
mitochondrial acyl carrier protein 1,819070,3702
VINC,31201,7227
vinc,31201,7227
osbp,6729504,7240
Ub,326237,7227
MIR166E,3771398,3702
chloroplast chaperonin 10,819073,3702
Dor62,31207,7227
dor62,31207,7227
or2a,31207,7227
MIR166F,3771422,3702
gorab,326245,7227
Crn,31208,7227
ethylene-responsive element binding factor 13,819093,3702
ocn,6730162,7240
MIR160C,3771452,3702
cg9645,326258,7227
l(1)crn,31208,7227
mtnD,326270,7227
Grp170,31215,7227
MIR166G,3771553,3702
phosphomannomutase,819187,3702
sima,6730177,7240
fer1,2768661,7227
Dilp,31220,7227
Dilp 6,31220,7227
Dilp6,31220,7227
ILP6,31220,7227
RHO guanyl-nucleotide exchange factor 4,819197,3702
dILP6,31220,7227
dIlp6,31220,7227
SP212,2768666,7227
dilp,31220,7227
dilp-6,31220,7227
dilp6,31220,7227
ilp6,31220,7227
MIR171B,5007685,3702
D-Raf,31221,7227
D-raf,31221,7227
Dpr9,2768670,7227
WRKY DNA-binding protein 43,819220,3702
MIR169H,5007706,3702
Draf,31221,7227
Draf1,31221,7227
MIR394A,5007708,3702
RAF,31221,7227
FANCD2,2768674,7227
anon1A3,6730371,7240
dRaf,31221,7227
draf,31221,7227
MIR395A,5007727,3702
arabinogalactan protein 16,819241,3702
DmP53,2768677,7227
MIR395B,5007728,3702
Dmp53,2768677,7227
crq,6730461,7240
P53,2768677,7227
dmP53,2768677,7227
phl,31221,7227
dmp53,2768677,7227
raf,31221,7227
dp53,2768677,7227
raf1,31221,7227
MIR395C,5007729,3702
WRKY DNA-binding protein 46,819248,3702
mRPL14,31222,7227
P38c,2768679,7227
cyclic nucleotide-gated channel 11,819252,3702
dp38c,2768679,7227
p38,2768679,7227
MIR399A,5007737,3702
PsGef,31224,7227
psGEF,31224,7227
Mld,2768685,7227
l(3)3[DTS],2768685,7227
galacturonosyltransferase 2,819257,3702
GT,31227,7227
MIR169D,5007800,3702
Gt,31227,7227
MIR169E,5007801,3702
tim,6730875,7240
lpr1,2768687,7227
squamosa promoter binding protein-like 1,819321,3702
Tko,31228,7227
mRpS12,31228,7227
CcapR,2768688,7227
Sr-CIV,6730881,7240
Boi,31229,7227
MIR171C,5007828,3702
myb domain protein 2,819332,3702
MIR399B,5007833,3702
DUP99B,2768691,7227
Z,31230,7227
IR41a,2768714,7227
WRKY DNA-binding protein 23,819339,3702
MIR395D,5007843,3702
PDFR,31234,7227
Pdf-R1,31234,7227
PdfR,31234,7227
MIR395E,5007844,3702
CP12 domain-containing protein 1,819353,3702
MIM,2768716,7227
han,31234,7227
Mim,2768716,7227
pdfR,31234,7227
MIR395F,5007845,3702
pdfr,31234,7227
Gpdh,6731131,7240
Klf,2768719,7227
vha36-3,31235,7227
LUNA,2768719,7227
MIR394B,5007851,3702
12d1,2768720,7227
Egh,31239,7227
myb domain protein 12,819359,3702
zw-4,31239,7227
CYP12d1-d,2768720,7227
MIR398A,5007864,3702
Cyp12d1,2768720,7227
cyp12d1,2768720,7227
cyp12d1-d,2768720,7227
DmKlp3A,31240,7227
photolyase/blue-light receptor 2,819372,3702
MIR396A,5007870,3702
CheB42A,2768721,7227
KLP3A,31240,7227
Tep2,6731375,7240
Klp3a,31240,7227
klp3A,31240,7227
Ppk25,2768722,7227
klp3a,31240,7227
cg8636,31243,7227
MIR156G,5007886,3702
r2d2,6731396,7240
sister-chromatid cohesion protein 3,819410,3702
OR46a,2768728,7227
MIR405A,5007902,3702
tsp3A,31244,7227
Or46aa,2768728,7227
Or46b,2768728,7227
dor19,2768728,7227
seipin,31245,7227
Brv3,31246,7227
Tep6,6731435,7240
MIR399D,5007928,3702
anac047,819562,3702
MIR399E,5007929,3702
MIR399F,5007930,3702
dfs,2768836,7227
apyrase 1,819563,3702
PI4KIIIalpha,31247,7227
fs,2768836,7227
stt4,31247,7227
zw-2,31247,7227
HP1a,6731455,7240
far-red elongated hypocotyl 1,5007942,3702
Mute,2768848,7227
MIR390A,5007944,3702
Dmsgg3,31248,7227
MIR393A,5007946,3702
peroxin-12,819602,3702
MIR319C,5007948,3702
GSK3beta,31248,7227
PAR-1,2768852,7227
Par-1,2768852,7227
Gsk-3,31248,7227
Par1,2768852,7227
phosphoenolpyruvate carboxylase kinase 2,819609,3702
Gsk-3beta,31248,7227
Gsk3,31248,7227
Adh,6732347,7240
Gsk3-beta,31248,7227
dPAR-1,2768852,7227
Gsk3beta,31248,7227
dPAR1,2768852,7227
SGG,31248,7227
dPar-1,2768852,7227
dPar1,2768852,7227
Sgg,31248,7227
MIR159C,5007966,3702
par1,2768852,7227
Shaggy,31248,7227
Zw-3,31248,7227
Zw3,31248,7227
Mei-W68,2768853,7227
WRKY DNA-binding protein 39,819625,3702
MIR167C,5007984,3702
gsk3,31248,7227
mei-w68,2768853,7227
meiW68,2768853,7227
Tep1,6732467,7240
zw-3,31248,7227
spo11,2768853,7227
zw3,31248,7227
DPR1,2768858,7227
MIR172C,5007991,3702
zw3[sgg],31248,7227
Dpr1,2768858,7227
cysteine synthase D1,819654,3702
HLH3b,31249,7227
MIR169F,5008003,3702
Dpr7,2768865,7227
PER,31251,7227
Per,31251,7227
dper,31251,7227
MIR169I,5008031,3702
alkB,2768870,7227
sugar transporter 6,819766,3702
MIR169J,5008032,3702
Ref(2)p,6732838,7240
MIR169K,5008033,3702
ref(2)P,6732838,7240
ref(2)p,6732838,7240
MIR169L,5008034,3702
SPG7,31253,7227
MIR169M,5008035,3702
MIR169N,5008036,3702
peroxiredoxin IIF,819778,3702
Csat,31255,7227
SQU,2768920,7227
Tep4,6732840,7240
BTB-POZ and MATH domain 2,819793,3702
MIR172D,5008089,3702
Fs(1)Yb,31262,7227
Yb,31262,7227
PP2A-29B,2768940,7227
MIR393B,5008092,3702
yb,31262,7227
arabinogalactan protein 27,819810,3702
Pp2A,2768940,7227
pp2A-29B,2768940,7227
Ya,31263,7227
MIR447C,5008116,3702
cg18656,2768945,7227
Vilya,31264,7227
PGRP-SC1b,6733589,7240
MIR447A,5008117,3702
cg18656,2768946,7227
pyruvate dehydrogenase kinase,819826,3702
DWG,31265,7227
MIR447B,5008118,3702
Sbp,31265,7227
Zw-5,31265,7227
Or69A,2768964,7227
Zw5,31265,7227
MIR397A,5008124,3702
Or69ab,2768964,7227
zw-5,31265,7227
or69a,2768964,7227
zw5,31265,7227
MIR405D,5008125,3702
importin alpha isoform 1,819857,3702
Ttm50,31266,7227
cg33288,2768968,7227
MIR397B,5008141,3702
Erp60,6734055,7240
Crm,31268,7227
multifunctional protein 2,819870,3702
MIR169G,5008152,3702
Ind,2768974,7227
zw-9,31268,7227
purple acid phosphatase 15,819899,3702
TSEN34,2768977,7227
syx4,31269,7227
MIR398B,5008210,3702
drk,6734328,7240
cg18331,2768980,7227
gsl10,819903,3702
Gaf,2768981,7227
MIR169B,5008226,3702
Gaga,2768981,7227
Nc70F,2768981,7227
W,31271,7227
TRL,2768981,7227
gaga,2768981,7227
carboxyl terminus of HSC70-interacting protein,819925,3702
Ago1,6734380,7240
trl,2768981,7227
MIR396B,5008242,3702
asparaginyl-tRNA synthetase 2,819930,3702
IrreC-rst,31290,7227
IrreC/Rst,31290,7227
Rst,31290,7227
MIR169C,5008285,3702
irreC,31290,7227
irreC-rst,31290,7227
Dilp,2768992,7227
Dilp 5,2768992,7227
Dilp-5,2768992,7227
Dilp5,2768992,7227
lipid transfer protein 6,820024,3702
ILP5,2768992,7227
MIR405B,5008304,3702
mth,6734418,7240
dILP-5,2768992,7227
dILP5,2768992,7227
Duf,31292,7227
dIlp5,2768992,7227
Duf/Kirre,31292,7227
dilp,2768992,7227
MIR156H,5008308,3702
Kirre,31292,7227
dilp-5,2768992,7227
dilp5,2768992,7227
duf,31292,7227
ilp5,2768992,7227
duf/kirre,31292,7227
MIR390B,5008314,3702
MIR172E,5008315,3702
Hex-C,6734593,7240
sulfite oxidase,820118,3702
MIR399C,5008323,3702
Nicd,31293,7227
UPD3,3346149,7227
co,31293,7227
Upd3,3346149,7227
cg15062,3346149,7227
cg5963,3346149,7227
adenosine kinase 1,820140,3702
upd,3346149,7227
upd-3,3346149,7227
AtMDAR3,820155,3702
NG2,31298,7227
MIR841A,6240385,3702
atg9,6734752,7240
Dpr4,3346160,7227
pig1,31303,7227
Btsz,3346167,7227
SGS4,31304,7227
subunit of exocyst complex 8,820201,3702
Amyrel,6734800,7240
MIR858A,6240652,3702
Sgs-4,31304,7227
sgs-4,31304,7227
sgs4,31304,7227
DNC,31309,7227
VMAT,3346192,7227
MIR845A,6240714,3702
dVMAT,3346192,7227
Acp53Ea,6734810,7240
anac053,820214,3702
vmat,3346192,7227
MIR773A,6240776,3702
Dm,31310,7227
Dmyc,31310,7227
MYC,31310,7227
UNC-89,3346201,7227
unc-89,3346201,7227
alpha-L-arabinofuranosidase 1,820243,3702
c-Myc,31310,7227
c-myc,31310,7227
d-myc,31310,7227
MIR158B,6240876,3702
dMYC,31310,7227
Lhr,6734902,7240
dMyc,31310,7227
dm,31310,7227
cg15277,3346206,7227
dmyc,31310,7227
manganese superoxide dismutase 1,820263,3702
dmyc1,31310,7227
myc,31310,7227
Dpr3,3346208,7227
rhi,6734954,7240
MIR845B,6241043,3702
DDR,3346209,7227
Oxp,6734956,7240
glycerol-3-phosphate acyltransferase 5,820316,3702
GAS8,31321,7227
miR828,6241170,3702
myb domain protein 65,820317,3702
PPK13,3346226,7227
Dilp,31328,7227
Dilp 7,31328,7227
Dilp7,31328,7227
ILP7,31328,7227
Dpr2,3346227,7227
dILP7,31328,7227
prod,6735202,7240
dilp,31328,7227
dilp-7,31328,7227
dilp7,31328,7227
MIR774A,6241219,3702
ilp7,31328,7227
PARG,31329,7227
parg,31329,7227
actin-related protein 5,820416,3702
NAB,3346237,7227
Nab,3346237,7227
MNT,31331,7227
MIR826A,6241301,3702
dnab,3346237,7227
dmnt,31331,7227
mnt,31331,7227
histone acetyltransferase of the CBP family 5,820484,3702
mus209,6735353,7240
Form3,3346238,7227
MIR781A,6241336,3702
Dral,31332,7227
DralA,31332,7227
Drala,31332,7227
RALA,31332,7227
Klhl10,3354863,7227
RalA,31332,7227
dRal,31332,7227
RELA/SPOT homolog 2,820619,3702
ral,31332,7227
ralA,31332,7227
st6Gal,6736119,7240
DmErk,3354888,7227
Fd3F,31336,7227
fd3f,31336,7227
DpErk,3354888,7227
miR2111A,10723066,3702
Ec,31339,7227
ERKa,3354888,7227
ubiquitin-specific protease 25,820662,3702
Erk,3354888,7227
Erk1/2,3354888,7227
ErkA,3354888,7227
OpT1,31340,7227
Opt1,31340,7227
Yin,31340,7227
MapK,3354888,7227
miR2111B,10723137,3702
Mapk,3354888,7227
gsl04,820683,3702
opt1,31340,7227
RL,3354888,7227
Rl,3354888,7227
Sem,3354888,7227
cdc37,6736410,7240
dERK,3354888,7227
dErk,3354888,7227
dpERK,3354888,7227
Vhaac39,31342,7227
dpERk,3354888,7227
dpErk,3354888,7227
erk,3354888,7227
vhaAC39,31342,7227
vhaAC39-1,31342,7227
mapk,3354888,7227
ethylene responsive element binding factor 4,820752,3702
pMapK,3354888,7227
squamosa promoter binding protein-like 5,820758,3702
sem,3354888,7227
MIR167D,28717283,3702
VAP33,31349,7227
Vap-33-1,31349,7227
DRad21,3354896,7227
hsp82,6736591,7240
Drad21,3354896,7227
Rad21,3354896,7227
dVAP,31349,7227
dVAP33A,31349,7227
dvap,31349,7227
expansin 12,820776,3702
VTD,3354896,7227
dvap33a,31349,7227
Vtd,3354896,7227
MIR157B,28717404,3702
vap-33A,31349,7227
dRad21,3354896,7227
drad21,3354896,7227
vap33-1,31349,7227
dro2,6736622,7240
rad21,3354896,7227
LVA,31350,7227
scc1,3354896,7227
Lva,31350,7227
lava,31350,7227
MIR833A,28717434,3702
dro3,6736623,7240
lvl,31350,7227
pleiotropic drug resistance 1,820881,3702
RPL15,3354918,7227
dro4,6736624,7240
rpL15,3354918,7227
nitrile specifier protein 1,820887,3702
XPAC,31357,7227
DBP80,3354919,7227
dro5,6736625,7240
dmXPA,31357,7227
dxpa,31357,7227
Brn,31358,7227
Hel80,3354919,7227
dbp80,3354919,7227
dro1,6736633,7240
Dgt4,31361,7227
MIR156A,28718303,3702
phospholipase D P1,820932,3702
Gfat,3354921,7227
gfat,3354921,7227
gfat1,3354921,7227
drs,6736636,7240
TIP60,31362,7227
MIR172A,28718310,3702
SET1,3354971,7227
dTip60,31362,7227
tip60,31362,7227
dSet1,3354971,7227
lipoamide dehydrogenase 2,820984,3702
dset1,3354971,7227
set1,3354971,7227
